"","age","gender","raceethnicity","city","state","armed","pop","share_black","share_hispanic","college","cluster"
"280",33,2,4,8,1,3,5733,"11.1","13.6",0.076845638,2
"281",25,2,2,186,10,2,4945,"83","9.5",0.16485773,1
"282",23,2,2,297,25,4,3641,"59.4","6.1",0.10056391,1
"283",47,2,2,232,38,2,4667,"59.4","1.4",0.083578792,1
"284",58,2,5,228,28,2,5006,"5.1","1.5",0.153032832,1
"285",47,2,5,4,37,4,4978,"0","19.8",0.174886536,1
"286",34,2,2,163,21,2,3715,"92.7","5.1",0.20610687,1
"287",28,2,5,141,27,2,7864,"0.1","3.3",0.300439399,2
"288",37,2,2,294,44,4,4502,"8.6","4.9",0.110704111,1
"289",87,2,5,43,34,2,3947,"0.6","0.8",0.160841534,1
"290",39,2,1,32,6,2,4630,"0.1","1.6",0.824971165,1
"291",27,2,3,89,5,3,4192,"0","41.7",0.176865936,1
"292",35,2,3,170,5,2,4371,"2","72",0.126103405,1
"293",36,2,2,143,16,7,1471,"87.2","4.5",0.085378869,1
"294",24,2,2,298,24,7,2391,"42.3","5.4",0.177067083,1
"295",26,2,2,216,29,4,4283,"31.8","4.4",0.190532081,1
"296",34,2,2,50,43,2,7340,"75.3","4.8",0.188659579,2
"297",51,2,5,61,25,6,2917,"4.4","3.5",0.579006772,1
"298",49,2,5,269,37,2,4083,"0.4","31.7",0.112681913,1
"299",41,2,5,255,15,2,5199,"16.5","26.3",0.026403743,1
"300",54,2,5,154,36,4,3954,"0.7","1.4",0.085796683,1
"301",36,2,2,181,40,2,6876,"7","50.1",0.040115301,2
"302",35,2,1,302,5,2,3140,"7.8","35.5",0.101457097,1
"303",22,2,2,280,11,6,5502,"28.2","22.6",0.202453988,1
"304",27,2,5,140,40,6,4517,"9.9","0.7",0.088607595,1
"305",42,2,5,268,5,2,5372,"7.1","15.5",0.475305216,1
"306",32,2,5,275,5,6,5731,"0.9","11.8",0.794069862,2
"307",32,2,5,83,23,6,3021,"0.9","3.4",0.238783649,1
"308",25,2,5,316,4,2,2485,"2.3","9.8",0.518049398,1
"309",26,1,2,221,5,4,3172,"2.6","70.9",0.318350079,1
"310",53,2,5,49,18,4,2911,"1.3","0",0.153225806,1
"311",26,2,5,30,14,3,5726,"2.3","12",0.228324505,2
"312",40,2,5,342,18,5,8064,"1.8","2.3",0.493210587,2
"313",55,2,5,93,28,2,5329,"89.1","0",0.08121547,1
"314",29,2,5,251,25,4,7585,"1.1","0.3",0.11350548,2
"315",31,2,5,295,25,4,2816,"2","1.3",0.105626851,1
"316",19,2,5,152,12,3,4189,"0.4","11.1",0.182048498,1
"317",40,2,5,290,38,3,6530,"17.8","3.7",0.1640178,2
"318",35,2,5,55,9,2,4480,"45.6","3.1",0.271408351,1
"319",35,2,5,24,34,2,4865,"11.1","19.8",0.292464115,1
"320",39,2,3,97,6,2,4129,"0.7","61.8",0.062254902,1
"321",37,2,5,239,11,4,5456,"15.7","2.6",0.431638418,1
"322",36,2,3,257,41,2,2377,"0","96.8",0.106725146,1
"323",62,2,5,289,44,3,5169,"9.8","24.8",0.143147897,1
"324",43,1,2,7,5,2,5062,"0.9","68",0.105032823,1
"325",32,2,5,327,44,3,2150,"4.1","9.4",0.294513956,1
"326",34,2,1,112,41,7,4775,"16.3","14.6",0.315638907,1
"327",37,2,2,15,6,4,6415,"24","41",0.114899926,2
"328",37,1,2,98,43,4,7408,"17.8","7.9",0.716906946,2
"329",33,2,5,329,19,3,1977,"2","0",0.122131148,1
"330",35,2,5,197,36,4,6888,"5.6","4.5",0.125871172,2
"331",40,2,5,337,20,4,3776,"2.2","6.6",0.158213475,1
"332",21,2,2,44,5,2,5931,"4.5","7.9",0.556167665,2
"333",30,2,5,77,13,2,3687,"13.6","32.2",0.042051282,1
"334",23,2,2,14,11,3,3574,"45.7","10.6",0.543604651,1
"335",26,2,4,230,4,4,4829,"12","55.4",0.035050676,1
"336",39,1,5,116,47,2,8988,"0.9","3.1",0.212288574,2
"337",33,2,2,272,41,7,4542,"5.3","43.2",0.355059417,1
"338",34,1,2,248,31,2,8810,"19.7","29.2",0.487170943,2
"339",37,2,2,205,19,2,1345,"84.2","5.4",0.039319872,1
"340",26,2,3,241,6,2,5747,"3.2","52.9",0.211460151,2
"341",24,2,3,170,5,4,3040,"8.7","8.8",0.560435572,1
"342",25,2,5,302,5,6,7323,"14.5","62.7",0.049474494,2
"343",31,2,2,7,5,3,9738,"1.6","69.1",0.253384913,2
"344",49,2,5,338,20,2,3902,"0.2","0.2",0.364356436,1
"345",59,2,5,41,5,4,8960,"7.1","32.9",0.512849414,2
"346",50,2,3,72,41,4,7556,"1.3","72.3",0.136064165,2
"347",37,2,5,326,5,2,7099,"23","7.8",0.350836333,2
"348",28,2,5,29,39,6,6309,"16.6","3.3",0.231973313,2
"349",26,2,3,139,41,2,2802,"25.3","34.5",0.351817622,1
"350",23,2,2,276,5,2,4866,"1.9","83.4",0.112262522,1
"351",32,2,2,330,31,2,7621,"21.3","77.8",0.075572519,2
"352",24,2,5,28,24,3,6185,"3.3","3.1",0.622360248,2
"353",42,2,5,301,36,2,4908,"8.5","7.3",0.284542314,1
"354",34,2,5,151,17,2,1990,"60.3","37.2",0.036484245,1
"355",68,2,5,190,24,6,4836,"9.8","16.3",0.264764622,1
"356",31,2,2,107,41,2,4321,"3.5","74.1",0.068349515,1
"357",83,2,5,207,36,4,5410,"1","5.2",0.150948367,1
"358",35,2,5,246,38,2,4017,"10.7","47.7",0.068331143,1
"359",29,2,3,272,41,2,3679,"5.6","70.2",0.240572172,1
"360",50,2,2,253,34,2,1271,"95.6","3.9",0.09653092,1
"361",43,2,5,150,41,2,6033,"0.3","50.6",0.163523637,2
"362",38,2,5,320,17,2,5378,"3.4","4.5",0.366545265,1
"363",27,2,2,105,21,2,1610,"25.5","10",0.474940334,1
"364",36,2,5,155,44,2,4284,"0","24.2",0.128080808,1
"365",55,2,5,120,37,3,2186,"0.5","6",0.247411444,1
"366",36,2,5,17,5,2,3921,"2.3","59.8",0.070159027,1
"367",68,2,5,159,41,4,6016,"6.1","30",0.170081392,2
"368",61,2,5,16,41,4,7456,"6.4","34.6",0.428831012,2
"369",46,2,5,242,43,4,3721,"10.5","0.4",0.118260244,1
"370",47,2,5,74,19,2,5375,"1.5","10.6",0.204924761,1
"371",26,2,5,226,35,7,4430,"0","0",0.086883596,1
"372",37,2,2,134,5,4,2666,"5.5","46.4",0.252503954,1
"373",22,2,3,250,5,3,4315,"2.5","22.5",0.173560108,1
"374",39,2,3,170,5,4,5158,"0","94.3",0.065922921,1
"375",49,2,5,124,26,6,2923,"85.3","4.8",0.088779956,1
"376",23,2,2,323,36,2,3300,"23.8","10.1",0.408774373,1
"377",47,2,3,283,5,2,4932,"1.4","66.5",0.13387151,1
"378",32,2,2,108,41,3,6118,"8.8","43.7",0.077154583,2
"379",45,2,2,133,15,4,4279,"67","21.7",0.11542814,1
"380",51,2,5,164,41,3,3999,"0.8","97.1",0.206791467,1
"381",31,2,3,96,41,7,5917,"10.7","10.7",0.411525586,2
"382",54,2,5,225,44,2,6747,"0.9","78.7",0.057256583,2
"383",31,2,5,157,4,2,6001,"0.2","11.9",0.141590679,2
"384",23,2,3,233,5,3,3755,"10.4","61.1",0.201408451,1
"385",29,2,3,165,33,4,4993,"6.3","84.5",0.039349224,1
"386",28,2,3,230,4,2,4579,"11.5","44.4",0.244320298,1
"387",31,2,2,109,24,4,2459,"15.5","2.2",0.164179104,1
"388",24,2,3,191,41,2,5449,"0.4","94.8",0.06231454,1
"389",27,2,5,16,41,4,8776,"1.5","19.7",0.636127355,2
"390",57,2,5,276,5,2,4026,"0","27.3",0.156238291,1
"391",38,2,5,236,23,2,5543,"8.6","2.7",0.454371585,1
"392",34,2,3,36,5,2,7914,"2.8","19.2",0.502911679,2
"393",39,2,5,195,2,6,5791,"2.1","0",0.068518038,2
"394",20,2,2,148,15,2,3362,"38.8","44.9",0.070552147,1
"395",35,2,5,153,4,4,2747,"0","42.3",0.080141129,1
"396",36,2,5,129,31,2,7010,"11.3","21.1",0.185093874,2
"397",38,2,1,137,12,4,403,"13.4","2",0.272237197,1
"398",33,2,5,5,5,2,7371,"10.9","36.1",0.227392739,2
"399",57,2,1,190,24,2,3081,"28.2","8.9",0.206444566,1
"400",38,2,2,26,2,2,3681,"22.4","28.9",0.405676127,1
"401",72,2,5,38,6,2,2868,"8","21",0.223813112,1
